名前,よみ,学校,攻撃,防御,コスト,EX時間（秒）
アイリ,あいり,トリニティ,爆発,軽装備,5,
アカネ（バニーガール）,あかね（ばにーがーる）,ミレニアム,神秘,重装甲,3,
アカネ（制服）,あかね（せいふく）,ミレニアム,爆発,軽装備,4,
アカリ（正月）,あかり（しょうがつ）,ゲヘナ,神秘,特殊装甲,5,
アコ,あこ,ゲヘナ,神秘,重装甲,3,16
アツコ（水着）,あつこ（みずぎ）,アリウス,振動,特殊装甲,2,
アヤネ,あやね,アビドス,貫通,軽装備,4,
アヤネ（水着）,あやね（みずぎ）,アビドス,貫通,軽装備,4,
イズミ（正月）,いずみ（しょうがつ）,ゲヘナ,爆発,軽装備,5,30
イチカ（水着）,いちか（みずぎ）,トリニティ,振動,特殊装甲,2,
イロハ,いろは,ゲヘナ,神秘,重装甲,6,
ウタハ,うたは,ミレニアム,貫通,重装甲,4,
エイミ（水着）,えいみ（みずぎ）,ミレニアム,神秘,特殊装甲,4,30
カエデ,かえで,百鬼夜行,爆発,特殊装甲,4,16
カリン,かりん,ミレニアム,貫通,重装甲,4,
カリン（制服）,かりん（せいふく）,ミレニアム,爆発,重装甲,7,
カンナ,かんな,ヴァルキューレ,貫通,重装甲,3,
キキョウ（水着）,ききょう（みずぎ）,百鬼夜行,振動,重装甲,4,30
キサキ,きさき,山海経,振動,弾力装甲,3,15
キリノ（水着）,きりの（みずぎ）,ヴァルキューレ,神秘,重装甲,5,45
コタマ,こたま,ミレニアム,爆発,軽装備,3,30
コユキ（パジャマ）,こゆき（ぱじゃま）,ミレニアム,神秘,軽装備,3,30
サキ,さき,SRT,貫通,特殊装甲,3,
サツキ,さつき,ゲヘナ,爆発,重装甲,3,
サヤ,さや,山海経,爆発,軽装備,3,
サヤ（私服）,さや（しふく）,山海経,貫通,特殊装甲,6,
シグレ（温泉）,しぐれ（おんせん）,レッドウィンター,貫通,特殊装甲,5,
シズコ,しずこ,百鬼夜行,神秘,特殊装甲,3,30
シズコ（水着）,しずこ（みずぎ）,百鬼夜行,神秘,重装甲,3,30
シミコ,しみこ,トリニティ,爆発,軽装備,3,30
ジュリ,じゅり,ゲヘナ,爆発,軽装備,3,
